"","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"222",7.373,7.065,10.394,9.522,9.722,11.027,4.595,12.158,10.652,9.811,4.595
"223",8.121,5.877,9.837,9.188,12.939,10.51,7.434,8.353,9.662,10.138,5.877
"224",8.606,8.2,10.878,10.026,14.331,11.304,6.417,7.587,8.863,10.212,6.417
"225",10.192,9.031,12.032,9.056,11.256,15.052,3.538,7.521,2.996,10.055,2.996
"226",7.092,7.924,8.712,12.343,6.745,11.864,4.422,10.721,4.758,10.718,4.422
"227",5.486,9.213,9.851,11.71,5.977,12.856,7.807,9.904,6.925,9.572,5.486
"228",7.519,8.384,9.28,12.156,8.355,12.392,8.272,6.751,5.191,4.985,4.985
"229",8.568,8.705,9.258,12.507,7.981,10.9,8.311,6.819,5.95,5.272,5.272
"230",10.627,8.87,9.074,9.048,6.921,10.742,9.875,9.891,4.76,7.447,4.76
"231",9.91,17.334,8.858,9.261,6.506,9.754,10.17,10.821,5.162,6.905,5.162
"232",9.328,12.833,11.612,9.732,7.831,8.3,11.446,9.666,9.597,7.599,7.599
"233",10.627,11.505,9.13,8.017,8.42,10.107,11.945,8.746,11.451,8.578,8.017
"234",10.836,11.768,10.092,8.745,10.315,12.051,8.689,9.339,6.92,9.005,6.92
"235",12.36,8.773,10.211,11.163,14.852,13.467,8.512,7.408,8.439,8.049,7.408
"236",15.587,11.825,9.353,12.188,14.38,9.577,6.184,5.11,5.964,7.63,5.11
"237",13.766,11.652,10.792,10.763,14.212,8.437,5.821,5.441,9.749,7.141,5.441
"238",11.791,10.946,10.932,8.612,9.272,7.848,6.826,8.26,8.302,6.305,6.305
"239",12.25,9.103,11.153,7.337,9.987,7.582,8.268,9.539,8.941,7.811,7.337
"240",10.527,9.377,11.396,8.334,9.115,6.621,9.993,10.676,10.288,10.418,6.621
"241",11.376,6.982,10.806,8.33,9.343,9.118,8.662,7.719,8.396,6.522,6.522
"242",11.721,6.412,11.074,9.802,9.825,11.204,6.007,9.21,9.086,6.682,6.007
"243",9.042,7.124,10.926,9.411,8.429,8.178,7.878,9.95,7.034,6.58,6.58
"244",8.338,7.354,6.487,6.924,9.014,10.068,8.556,10.811,8.201,7.438,6.487
"245",8.585,7.545,7.733,9.517,6.928,10.981,6.479,13.853,7.178,9.545,6.479
"246",10.347,9.45,9.809,10.068,7.999,10.921,6.067,13.266,6.272,7.52,6.067
"247",10.411,9.655,7.756,9.703,7.474,12.512,10.15,12.71,6.542,11.036,6.542
"248",7.341,6.793,11.351,10.919,8.772,10.659,6.644,11.795,7.511,11.058,6.644
"249",7.675,5.359,12.79,10.691,8.961,10.573,5.037,12.827,6.657,5.084,5.037
"250",6.141,8.103,13.435,6.126,10.208,9.405,8.25,11.949,7.968,6.492,6.126
"251",6.744,9.013,15.907,6.332,8.939,8.454,7.275,18.454,7.994,5.157,5.157
"252",7.409,6.911,15.084,5.045,7.091,8.173,8.341,12.754,6.857,7.982,5.045
"253",10.197,8,13.658,6.598,10.109,8.529,9.9,9.667,7.766,5.779,5.779
"254",9.575,9.318,10.785,6.251,9.716,9.871,9.755,8.242,9.991,5.718,5.718
"255",9.416,8.663,8.614,5.22,8.479,12.115,12.151,7.229,8.149,8.492,5.22
"256",8.761,6.789,8.564,7.697,10.274,9.83,10.574,9.839,4.904,7.037,4.904
"257",6.138,4.543,9.805,8.256,13.294,8.022,9.522,8.69,6.548,8.078,4.543
"258",9.073,7.697,6.134,7.757,11.544,8.556,6.893,6.948,5.553,7.525,5.553
"259",6.916,7.198,11.693,12.738,6.542,5.594,7.44,8.103,4.788,8.603,4.788
"260",6.539,8.723,8.733,14.799,9.911,7.806,10.585,8.619,6.733,9.156,6.539
"261",4.463,8.752,9.733,10.1,9.189,8.855,12.742,8.204,7.233,8.223,4.463
"262",7.15,10.03,9.453,11.563,10.056,6.559,12.444,9.93,5.339,8.104,5.339
"263",5.226,6.229,6.002,8.751,10.637,8.299,13.197,12.852,6.513,9.238,5.226
"264",7.186,7.157,7.379,10.862,6.87,8.731,15.143,9.604,6.059,8.66,6.059
"265",7.235,7.86,3.721,8.247,10.54,10.551,10.651,8.476,7.385,8.406,3.721
"266",8.009,6.424,5.625,8.056,9.966,10.068,8.294,7.779,8.216,5.749,5.625
"267",8.29,7.495,5.512,10.125,9.07,10.678,11.312,7.937,4.724,6.381,4.724
"268",9.641,5.966,6.467,12.174,6.457,10.055,8.276,6.393,7.834,6.902,5.966
"269",8.853,6.6,9.878,12.59,3.908,6.481,9.495,8.199,9.871,7.173,3.908
"270",8.068,6.323,9.62,14.11,6.19,4.937,10.92,5.977,8.947,7.033,4.937
"271",7.454,7.826,11.182,14.728,9.697,7.144,12.286,8.184,8.562,5.619,5.619
"272",7.617,7.364,9.647,15.072,6.175,4.62,9.812,8.139,9.869,6.948,4.62
"273",9.16,5.641,5.935,13.286,7.269,8.403,5.588,10.458,8.631,7.117,5.588
"274",7.083,10.04,5.373,9.312,7.039,6,4.319,7.053,8.144,7.118,4.319
"275",8.914,4.713,4.867,9.595,6.057,6.179,5.702,7.208,4.59,5.873,4.59
"276",5.559,5.549,6.843,9.164,4.932,7.73,6.809,6.722,5.269,5.34,4.932
"277",3.187,10.263,12.679,12.509,5.564,6.998,7.038,8.324,8.076,4.177,3.187
"278",6.235,9.236,8.355,10.657,9.813,7.522,4.473,6.842,8.374,5.46,4.473
"279",6.119,4.102,3.006,11.095,11.661,9.141,2.954,7.508,8.878,7.477,2.954
